LOC_PID,LGA_PID,LGA,LOCALITY,State.Region,ABB_NAME,Metro.Region,State,POA_CODE16
VIC2186,VIC228,Macedon Ranges,Rochford,Loddon Mallee,MACEDON RANGES,,VIC,3442
VIC2187,VIC237,Melton,Rockbank,Greater Metropolitan Melbourne,MELTON,Outer Metropolitan,VIC,3335
VIC2188,VIC233,Southern Grampians,Rocklands,Barwon South West,SOUTHERN GRAMPIANS,,VIC,3401
VIC2189,VIC94,Hepburn,Rocklyn,Grampians,HEPBURN,,VIC,3364
VIC219,VIC230,Golden Plains,Berringa,Grampians,GOLDEN PLAINS,,VIC,3351
VIC2190,VIC220,Ararat,Rocky Point,Grampians,ARARAT,,VIC,3377
VIC2191,VIC194,Baw Baw,Rokeby,Gippsland,BAW BAW,,VIC,3821
VIC2192,VIC230,Golden Plains,Rokewood,Grampians,GOLDEN PLAINS,,VIC,3330
VIC2193,VIC230,Golden Plains,Rokewood Junction,Grampians,GOLDEN PLAINS,,VIC,3351
VIC2194,VIC228,Macedon Ranges,Romsey,Loddon Mallee,MACEDON RANGES,,VIC,3434
VIC2195,VIC188,Banyule,Rosanna,Greater Metropolitan Melbourne,BANYULE,Metropolitan Melbourne,VIC,3084
VIC2196,VIC186,Wangaratta,Rose River,Hume,WANGARATTA,,VIC,3678
VIC2197,VIC200,Yarriambiack,Rosebery,Grampians,YARRIAMBIACK,,VIC,3395
VIC2198,VIC229,Moyne,Rosebrook,Barwon South West,MOYNE,,VIC,3285
VIC2199,VIC204,Mornington Peninsula,Rosebud,Greater Metropolitan Melbourne,MORNINGTON PENINSULA,Outer Metropolitan,VIC,3939
VIC22,VIC241,Ballarat,Alfredton,Grampians,BALLARAT,,VIC,3350
VIC220,VIC187,Towong,Berringama,Hume,TOWONG,,VIC,3691
VIC2201,VIC218,Wellington,Rosedale,Gippsland,WELLINGTON,,VIC,3847
VIC2202,VIC166,Northern Grampians,Roses Gap,Grampians,NORTHERN GRAMPIANS,,VIC,3385
VIC2203,VIC242,Alpine,Rosewhite,Hume,ALPINE,,VIC,3737
VIC2204,VIC239,Campaspe,Roslynmead,Loddon Mallee,CAMPASPE,,VIC,3564
VIC2205,VIC230,Golden Plains,Ross Creek,Grampians,GOLDEN PLAINS,,VIC,3351
VIC2206,VIC220,Ararat,Rossbridge,Grampians,ARARAT,,VIC,3377
VIC2207,VIC166,Northern Grampians,Rostron,Grampians,NORTHERN GRAMPIANS,,VIC,3477
VIC2208,VIC236,Moorabool,Rowsley,Grampians,MOORABOOL,,VIC,3340
VIC2209,VIC209,Knox,Rowville,Greater Metropolitan Melbourne,KNOX,Outer Metropolitan,VIC,3178
VIC221,VIC183,Buloke,Berriwillock,Loddon Mallee,BULOKE,,VIC,3531
VIC2210,VIC198,Hume,Roxburgh Park,Greater Metropolitan Melbourne,HUME,Outer Metropolitan,VIC,3064
VIC2211,VIC250,Murrindindi,Rubicon,Hume,MURRINDINDI,,VIC,3712
VIC2212,VIC178,South Gippsland,Ruby,Gippsland,SOUTH GIPPSLAND,,VIC,3953
VIC2213,VIC110,Strathbogie,Ruffy,Hume,STRATHBOGIE,,VIC,3666
VIC2213,VIC250,Murrindindi,Ruffy,Hume,MURRINDINDI,,VIC,3666
VIC2214,VIC242,Alpine,Running Creek,Hume,ALPINE,,VIC,3691
VIC2215,VIC239,Campaspe,Runnymede,Loddon Mallee,CAMPASPE,,VIC,3558
VIC2216,VIC166,Northern Grampians,Rupanyup,Grampians,NORTHERN GRAMPIANS,,VIC,3388
VIC2216,VIC200,Yarriambiack,Rupanyup,Grampians,YARRIAMBIACK,,VIC,3388
VIC2217,VIC239,Campaspe,Rushworth,Loddon Mallee,CAMPASPE,,VIC,3612
VIC2218,VIC230,Golden Plains,Russells Bridge,Grampians,GOLDEN PLAINS,,VIC,3331
VIC2219,VIC191,Indigo,Rutherglen,Hume,INDIGO,,VIC,3685
VIC222,VIC230,Golden Plains,Berrybank,Grampians,GOLDEN PLAINS,,VIC,3323
VIC222,VIC231,Corangamite,Berrybank,Barwon South West,CORANGAMITE,,VIC,3323
VIC2220,VIC243,East Gippsland,Ryans,Gippsland,EAST GIPPSLAND,,VIC,3875
